,roi_id,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,GABAa-bz,H3,M1,MU,NAT,NMDA,VAChT,mGluR5,vox_id,pls_x_score_0
12321,24.0,0.6152456,0.29386303,0.39473897,0.41698623,0.4618693,1.1882681,-0.37138167,-0.6552591,0.6584044,-0.046323024,0.7444786,0.53464985,0.6303274,0.1954958,-0.6144344,0.6991683,0.8206788,0.5946054,0.5104491,12321,8.086328990447932
12326,9.0,-0.7623443,-0.060672328,0.2551966,0.27083284,-0.7106988,0.28880125,-0.5147792,-1.4186035,-0.57568794,-0.45884645,0.08987086,-0.21369557,-1.0436227,-0.9158933,-1.237607,0.6760684,-0.50275636,-0.10694551,-0.7640336,12326,2.876369282478032
12327,9.0,-0.77436346,0.10869489,1.4686369,1.4675003,-0.49960443,1.1188573,-0.1350652,-1.211414,-0.47234678,-0.4479426,-0.025648365,1.1792859,-0.84596395,-0.7068948,-1.2966697,1.3574543,-0.5950305,-0.10903921,-0.7624996,12327,2.977153716663043
12328,9.0,-0.76950455,0.19009739,-0.15219882,-0.13921559,-0.3713868,0.1477865,0.13791911,-1.0731305,-0.60389364,-0.437344,-0.2873939,0.8271031,-0.6916063,-0.5742674,-1.3014486,1.8310455,-0.21315229,-0.071100675,-0.88453966,12328,2.6721494660479865
12331,173.0,0.7502687,-0.3055535,-0.06126047,-0.018752074,0.5508919,0.96030736,-0.7829593,-0.16594312,0.6562438,0.33142596,0.91556406,-0.6947302,0.57154113,0.35435805,-0.2851209,0.26470125,0.0639026,0.51503724,0.19813703,12331,2.2593099731528836
12332,173.0,0.83465755,-0.1171141,0.6914774,0.7368957,0.6188187,1.3616807,-0.68966955,-0.22186546,0.7192568,0.2077603,0.85512364,0.21148604,0.6643695,0.27861792,-0.31560108,0.38266045,0.40419456,0.4838965,0.3924168,12332,4.635709482428857
12333,24.0,1.0880812,-0.023682103,-0.4282548,-0.40181473,0.6384312,0.9470053,-0.7807546,-0.13337599,0.66908646,0.121566266,0.79175836,0.1622264,0.6828691,0.3422728,-0.09828524,0.5081173,-0.24564101,0.4422833,0.66742605,12333,5.624724366343394
12338,8.0,-0.8150236,0.01258257,-0.09165694,-0.24942538,-1.2562077,0.007495951,-0.6118498,-2.215246,-0.3602439,-0.58175737,0.36185217,-0.64639026,-1.1709801,-1.4167126,-1.0528829,0.28963387,0.4265732,0.2792992,-0.6963802,12338,-0.014524284231576617
12339,8.0,-0.7562069,0.10861957,-0.66267645,-0.6513983,-0.91242415,-0.23806606,-0.44084087,-1.8621687,-0.25654265,-0.4943544,0.2858146,-1.1914588,-0.85916394,-0.97756016,-1.0347111,0.88296115,0.08891154,0.21307974,-0.6287761,12339,1.6793419172986297
12340,8.0,-0.7163138,0.38228545,0.19937345,0.15601695,-0.62950784,0.33456075,-0.09434221,-1.537374,-0.29723096,-0.4687418,0.08938338,-0.29853547,-0.6013936,-0.7100139,-1.0664868,1.3122628,-0.09078017,0.06904116,-0.63225925,12340,2.2550149028470554
