,roi_id,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,GABAa-bz,H3,M1,MU,NAT,NMDA,VAChT,mGluR5,vox_id,pls_x_score_0
27,337.0,-0.6020049,-0.6864606,-0.7102088,-0.68759054,-1.1382163,-0.8278696,-2.0321064,-0.08480356,-0.49323103,-0.06296717,-0.2644849,-1.3480674,-0.22062908,0.3784935,-0.1794003,-0.7353242,-0.017008148,-0.6235187,0.3680836,27,-5.408126114972945
36,337.0,-0.120730594,-0.17792636,-0.53949857,-0.5120883,-0.2953008,-0.77879846,-1.103682,0.32404652,-0.12031481,0.14369643,-0.22987802,-1.2736592,0.10203098,0.84690654,0.07384321,-0.051172197,0.28238082,-0.5772659,0.61385196,36,-4.1759579754282505
37,337.0,-0.47542107,-0.58346236,1.0498453,1.0891668,-0.7909166,-0.42735952,-1.6934221,0.12584503,-0.4239768,-0.1632398,-0.24986243,-0.47069913,0.21854304,0.6590159,-0.10893245,-0.36901706,-0.7477096,-0.55665416,0.3497491,37,-5.141029557606859
47,337.0,0.03858611,-0.0060519055,-0.5327842,-0.50131404,0.119548894,-0.6425518,-0.56043273,0.56578904,0.012672343,0.24465224,-0.17869873,-1.2644769,0.325472,1.0402757,0.14975253,0.53763354,-0.3373885,-0.46909901,0.7845425,47,-3.026298803658031
48,339.0,-0.20844427,-0.17203608,1.2072301,1.27662,-0.3108157,-0.31996602,-1.0066838,0.39398924,-0.22617643,-0.041930676,-0.21038108,-0.3373281,0.47558907,0.8226639,-0.002023816,0.51396483,-0.09716284,-0.45118597,0.5151084,48,-4.110153402047473
60,339.0,-0.12533367,0.060593456,1.0776222,1.1543094,-0.14645058,-0.20175141,-0.5192417,0.4306044,-0.17852665,0.00832133,-0.20453197,-0.33818746,0.32721668,0.65632844,-0.052000333,0.8347,0.45819154,-0.35926533,0.576272,60,-3.5937245556333175
67,333.0,0.5326464,0.4061167,-0.86243063,-0.8372318,0.6651537,-0.4184989,0.33421344,0.95943046,0.2581225,0.74485373,-0.10558543,-1.4125249,0.49971116,1.2817426,0.4731734,0.8110904,0.6515537,-0.52749014,1.1003304,67,-1.0977490908295238
69,339.0,0.123998016,0.16775751,-0.71419144,-0.68490237,0.18185224,-0.49524164,-0.25316566,0.44816583,-0.13243726,0.26615757,-0.1631013,-1.3361212,0.08132949,0.7236001,0.04772784,0.90144867,0.4280223,-0.3306775,0.6910238,69,-2.615581489903559
83,333.0,0.49837935,0.16719382,-0.64304,-0.61554223,0.51831836,-0.33808556,0.1608394,0.96922654,0.18694803,0.6553369,-0.10607291,-1.3333836,0.52748924,1.1345553,0.31160456,0.6359806,0.07222407,-0.4447734,1.0687964,83,-0.42871585475330176
84,325.0,0.30939898,0.038099483,-0.32949242,-0.29870093,0.27069327,-0.30605394,-0.2516959,0.6155812,-0.05694187,0.42846584,-0.14604144,-1.2061973,0.3011024,0.88848925,0.05653373,0.66498995,0.33699954,-0.36720344,0.81258506,84,-1.7334682499910945
99,325.0,0.17949055,-0.13301133,0.14036521,0.17647533,0.041980397,-0.20649838,-0.30595192,0.48311144,-0.11083292,0.34079584,-0.16651334,-0.99247384,0.15046205,0.74398065,-0.14204425,0.5466435,0.1953413,-0.35805646,0.55030936,99,-1.0043771838353213
103,225.0,-0.33068073,-0.44662824,1.4356706,1.3044541,-0.7228387,-0.25813812,-0.98731244,0.8334339,-0.6997932,-0.10992674,-0.33077446,1.2281382,0.2989337,0.77498883,-0.19068155,-0.15395772,-1.4681413,-0.7567129,0.4753815,103,-4.238076742405446
113,330.0,0.4671809,-0.16668786,-0.8462673,-0.8209526,0.30297625,-0.35613298,-0.28302747,1.0407349,0.32509625,0.5706473,-0.096811764,-1.4054313,0.35603553,1.28867,0.28013614,0.3188656,0.01907635,-0.43049702,0.88305765,113,-0.7514462375674351
126,325.0,-0.10743283,-0.42061958,0.66177183,0.6939891,-0.18100873,-0.1163552,-0.72749037,0.50180686,-0.24634057,0.37311438,-0.15286551,-0.73507667,0.025365913,0.87478197,-0.20477986,0.1603944,0.2691552,-0.3062248,0.41251004,126,-2.105880988647056
127,325.0,-0.27390978,-0.46820915,0.24052343,0.27239427,-0.35082784,-0.25842053,-0.6401163,0.25192258,-0.32879746,0.1755374,-0.2157427,-0.87938243,-0.09539641,0.66909045,-0.4258927,0.16388094,-0.054098826,-0.27733204,0.28559136,127,-2.2384253367152107
135,330.0,0.26745978,-0.4002493,-0.8621577,-0.8372096,-0.08202299,-0.4634413,-0.8426945,1.0123806,-0.02249487,0.48743612,-0.08170181,-1.412174,0.17093354,1.2623419,0.25668383,0.051320232,0.04040199,-0.48696256,0.67938876,135,-1.0061760486407936
136,325.0,-0.09745954,-0.70219624,-0.27767074,-0.25870097,-0.32740152,-0.34935424,-1.0726448,0.65566117,-0.29795116,0.4169328,-0.14506648,-1.1511827,0.062582426,0.88075733,-0.042019095,-0.09438167,-0.3894165,-0.36112833,0.46488407,136,-2.0257067584018467
137,325.0,-0.41609278,-0.5509807,0.5954285,0.61125165,-0.50420874,-0.21126547,-1.0167211,0.31535682,-0.32723707,0.27692357,-0.17674914,-0.6907358,-0.07230925,0.6463013,-0.33802825,-0.1929418,0.25062928,-0.284029,0.23535246,137,-3.001981568071277
145,325.0,-0.5531613,-0.9906839,-0.1455573,-0.13199343,-0.6901892,-0.4493335,-1.403247,0.3852919,-0.56320536,0.29123127,-0.21379311,-1.0734223,-0.21712853,0.54501605,-0.29173994,-0.2775952,-0.1339336,-0.36868665,0.13979454,145,-2.9275868864472776
146,375.0,-0.8255083,-1.293998,0.8219214,0.8268032,-1.2294531,-0.47010285,-2.1294322,0.29421145,-1.2990757,-0.20925498,-0.3502714,-0.44539478,0.19012891,0.42290384,-0.79156184,-0.58849907,-1.1538641,-0.4903315,0.026967099,146,-5.243177080875881
147,325.0,-0.7828023,-1.400115,-0.4389158,-0.4218443,-1.0944551,-0.6319114,-1.688672,0.096740834,-0.80241424,0.13182455,-0.25522408,-1.2160382,-0.46610257,0.1802051,-0.55584073,-0.41759872,-0.18338896,-0.45389464,-0.12396226,147,-3.894490614056718
158,375.0,-1.2190689,-1.8785481,-0.8454821,-0.82094204,-1.5599338,-0.8581791,-2.12005,-0.2248138,-1.0935938,-0.0089508,-0.34247267,-1.4041855,-0.759924,-0.024471508,-0.8530258,-0.8931817,-0.6561892,-0.6039861,-0.39666036,158,-5.544974189659282
160,375.0,-1.3001338,-2.0320737,1.2269998,1.2253095,-1.6351099,-0.376349,-1.9857454,-0.15682173,-1.4309826,-0.16663346,-0.4136361,-0.4197734,-0.5208457,0.23262005,-1.0363367,-0.76544696,-0.91747,-0.6167341,-0.39282545,160,-7.345289885493166
181,340.0,-0.47593236,-0.5537586,-0.83649796,-0.8131239,-0.47752634,-0.8560559,-0.8294009,0.3351033,-0.25738284,0.33735847,-0.23572713,-1.4065952,-0.084680915,0.8659671,0.20392478,0.33640328,-0.17211686,-0.48986816,0.4847281,181,-4.741390134245745
198,339.0,-0.45215002,-0.3592541,1.2851666,1.24948,-1.0132649,-0.3856956,-1.319815,0.3228268,-0.12799639,-0.05657138,-0.29860464,-0.13602957,-0.03649466,0.7940344,0.1285002,0.080885865,-0.8864194,-0.46124864,0.94240946,198,-5.055715681381471
199,228.0,-0.5327033,-0.51259804,-0.062743396,-0.010374779,-1.3456173,-0.65685576,-1.8344595,0.32128876,-0.36684516,-0.16243386,-0.3278499,-0.9484621,-0.038268525,0.7548222,0.11383831,0.11053525,-0.70975155,-0.5237005,0.977088,199,-5.419160128221729
211,228.0,0.021964021,0.22175461,1.3331505,1.4418163,-0.42897084,-0.2668362,-0.56220424,0.6697635,-0.061742846,0.12465924,-0.24645041,0.065849565,0.17040889,1.062821,0.35504544,0.5064032,0.30349293,-0.3688233,1.0645903,211,-4.6334797884255545
213,228.0,-0.2074214,0.15016358,1.0398645,1.1065738,-0.99406344,-0.37007397,-1.0325819,0.7436752,-0.14816053,-0.043126136,-0.3137146,1.1896318,-0.083531424,0.947763,0.44900072,0.62030405,-0.88199896,-0.4613543,1.1125882,213,-4.470129558292644
214,349.0,-0.75032526,-0.4637087,0.58733314,0.6014348,-1.6785207,-0.47266766,-1.9808248,0.51148856,-0.41077417,-0.28837445,-0.41899773,-0.44189438,-0.2880866,0.6442963,0.2581401,0.030973002,-1.719572,-0.5118043,0.5538324,214,-4.377007747764986
220,337.0,0.86611205,0.63382536,0.25664404,0.28348678,1.1478063,-0.09737417,0.55129904,0.84587336,0.6064337,0.59616876,-0.07585269,-0.82741874,0.09905283,1.3565404,0.46212578,1.3170465,0.899536,-0.4099307,1.1404904,220,-1.2698017263102248
226,228.0,-0.24501278,0.23910183,1.4344736,1.3771979,-0.65720034,-0.30210578,-0.3731233,0.90807265,0.022514328,0.052602082,-0.35075888,0.16355889,0.19342193,1.097213,0.6813131,0.5963861,0.031311635,-0.3664008,0.88784486,226,-3.1254441998309592
232,330.0,1.1563599,0.82009816,-0.82736677,-0.8016819,1.4425848,-0.28460294,0.77011293,0.9196659,0.4914502,0.8703227,0.025043746,-1.3982414,0.05402845,1.3649693,0.54247344,1.2216798,0.23953223,-0.38815466,1.0038108,232,-0.5269394798020197
233,333.0,1.0515124,0.70495427,-0.23763134,-0.20474115,1.3808497,-0.14501885,0.73344594,0.9559208,0.6105146,0.73344034,-0.004201514,-1.125787,0.14692016,1.3244603,0.53569865,1.347028,0.7630645,-0.38995174,1.1673603,233,-0.6335735420049778
234,333.0,0.9502452,0.62252235,0.43971342,0.4832468,1.1810895,0.0064275973,0.5637846,0.83669674,0.6591244,0.5329349,-0.021261377,-0.691387,0.16569552,1.2618548,0.4233939,1.3933067,0.17371346,-0.3389465,1.1913275,234,-0.5735928184554385
236,228.0,0.52727634,0.4755437,1.3501784,1.4211642,0.6820199,0.101765975,0.35199368,0.5735887,0.33061734,0.18751898,-0.08121433,1.2594897,0.3222001,0.81425107,0.28389215,1.3108152,0.46370462,-0.35543385,0.81376857,236,-2.264113646920053
247,333.0,1.0433291,0.58477914,0.10024126,0.1384571,1.3137256,-0.001320377,0.72142506,0.90413994,0.64052075,0.7444773,0.014320474,-0.95178425,0.2231805,1.2373096,0.491299,1.4333496,0.3005755,-0.33373713,1.1634561,247,-0.03738026849800743
266,339.0,0.7599859,0.49021912,0.6467887,0.6918702,0.9562188,0.09336884,0.29937035,0.46643147,0.2708452,0.4284912,-0.0007897859,-0.5000468,-0.20910145,0.74406934,0.11278211,1.3478124,0.52567333,-0.26192325,0.694952,266,-0.4237556285543927
272,225.0,-0.07495579,0.51931375,-0.011314905,0.008235782,-0.57097405,-0.47265312,-0.11219561,0.94430184,-0.14335956,0.059648193,-0.43703255,-0.65575045,0.00281554,1.0328581,0.875388,0.30264676,0.8068371,-0.43819818,0.97184485,272,-4.048117586134329
280,375.0,0.49556646,0.46426517,0.3070753,0.33104694,0.7213101,-0.1006494,0.48096946,0.8183034,0.23939866,0.28954554,-0.14506648,1.3652796,0.70335895,1.1261038,0.07337397,0.994529,0.8825792,-0.27599645,0.9872308,280,0.4034618395175849
282,225.0,0.5623109,0.69107157,-0.05257956,-0.072388716,0.7968839,-0.21868177,0.5594642,1.2916626,0.15586159,0.29944965,-0.19673325,1.3919098,0.8354338,1.2829858,0.6065651,0.77461433,0.63376456,-0.38877964,1.1932206,282,-0.8951072200116292
283,225.0,0.5398068,0.7728858,1.3050175,1.102688,0.6638673,0.07763285,0.6082976,1.273477,0.18694803,0.28558362,-0.22305426,1.5471768,0.59525263,1.2034974,0.85391694,0.6832883,0.2103186,-0.37965664,1.2432034,283,-1.2900724461172692
284,225.0,0.21784939,0.67132246,0.5337309,0.41693097,0.43482563,-0.20036682,0.63657486,1.1489451,-0.0026908268,0.24767797,-0.29324302,-0.34821025,0.33790702,1.1302298,0.9868784,0.61056745,0.2540734,-0.31314138,1.1609567,284,-2.103617160779444
285,225.0,0.08666237,0.56456584,0.20653923,0.24262463,0.10562991,-0.28792322,0.53069144,1.0467592,-0.048180085,0.19853523,-0.33467367,-0.44241723,0.18897583,1.0532011,0.94590485,0.5440172,0.046250075,-0.31005326,1.0563356,285,-3.469322163087613
292,330.0,1.3716801,0.7802785,-0.82802385,-0.8022248,1.2215587,-0.100308865,0.8439457,1.1818981,0.9218582,0.89563614,0.077197984,-1.397736,0.3339348,1.6451093,0.5791005,0.83944213,0.63702196,-0.2713073,1.3418342,292,1.6837457433490144
294,324.0,0.31962767,0.38455963,0.8496814,0.8633854,0.5467188,0.0646977,0.29797375,0.2866338,0.13209672,0.089421175,-0.10412331,-0.24785136,-0.03977197,0.6733082,-0.3289268,1.3287903,0.34526253,-0.10179901,0.34261265,294,-0.7368760850217578
300,348.0,0.05623107,0.48602125,0.51818806,0.566353,-0.31202736,-0.2545014,0.40380892,1.0483459,0.038597707,0.05600647,-0.4277714,1.5856783,0.19049859,0.9787418,0.8651078,0.42790288,-0.12837677,-0.2755809,1.0278325,300,-5.1095824563327215
304,330.0,1.0980545,0.49030286,-0.42478645,-0.3946239,1.1025164,-0.06826645,0.55884576,1.1298552,0.87048775,0.85211104,0.07183604,-1.2179432,0.18833752,1.6598984,0.45354652,0.65785366,0.32797104,-0.19996643,1.2200471,304,0.9918801520327839
308,347.0,0.50732976,0.88896984,0.43490282,0.34395087,0.6125132,-0.1692024,0.537608,1.4047346,0.3075727,0.26544338,-0.24108876,-0.44591388,0.3376411,0.9960215,0.72998774,1.2410377,-0.18856438,-0.1979308,1.2963028,308,-2.4643496207071465
309,347.0,0.4405857,0.92583454,-0.19931473,-0.24680828,0.47032553,-0.3399223,0.69909585,1.3020837,0.2968904,0.2269311,-0.26156035,-0.9299426,0.15414812,0.8548498,0.9123467,1.3197982,0.44068238,-0.17247552,1.2039084,309,-3.2478375901418595
310,348.0,0.3393185,0.69745207,-0.31284228,-0.27597457,0.2676677,-0.38195777,0.72798836,1.2162302,0.16210286,0.19517596,-0.31420207,-0.91796225,0.20347801,0.862122,0.95446146,1.0684379,0.65063995,-0.19624317,1.1165767,310,-3.849512032079675
311,348.0,0.19534533,0.6057297,1.0116044,1.0995549,-0.009924528,-0.0057767928,0.6242506,1.1730083,0.14926031,0.14613965,-0.3463719,0.25169864,0.2799032,0.93679106,0.9249577,0.85653496,0.56824917,-0.20883174,1.1131163,311,-4.9136341954140415
318,330.0,1.2888249,0.5910833,-0.8132564,-0.7884616,1.097089,-0.153229,0.552674,1.3225917,0.89833325,0.91522926,0.1113174,-1.3942659,0.32848835,1.8846912,0.625096,0.5757628,0.7831527,-0.23697776,1.2726077,318,1.6510104360219755
322,347.0,0.42549774,0.50451046,1.5406002,1.4402423,0.4885488,0.074213326,0.3909551,1.4122161,-0.06210295,0.23790959,-0.22939055,1.3228111,0.72866696,1.2803164,0.46822682,0.75523305,-1.7185012,-0.30997592,0.98801756,322,-2.357009233459952
324,347.0,0.36642548,0.93414354,-0.52508545,-0.5171076,0.2803805,-0.4376378,0.67750317,1.2722192,0.2613632,0.17773083,-0.28788137,-1.1503007,0.21400708,0.95136017,0.8619919,1.3694172,-0.34865457,-0.20953767,1.0985059,324,-3.449131464898003
325,347.0,0.22347516,0.7288308,1.0438129,1.1309086,0.042480342,0.07338476,0.6555522,1.2155612,0.09500915,0.1727058,-0.33711106,0.34952804,0.2411819,1.0093958,0.8455956,1.1227436,0.08009094,-0.28219154,1.0988543,325,-4.428855596454302
339,347.0,0.2270552,0.4738713,1.3935566,1.3096627,0.20946674,0.019902214,0.5200215,1.1928253,0.13869812,0.17404008,-0.27277112,0.24870853,0.45335898,0.97158146,0.6837015,0.869414,-0.43699455,-0.22402316,1.1512421,339,-4.058855847439633
347,324.0,0.06671579,0.005408868,0.7912059,0.8157283,0.16303733,-0.14682321,-0.5678414,0.67229354,-0.092109084,0.17506641,-0.1996578,-0.20121142,0.80596894,1.0617557,-0.2645427,0.4100979,0.5561459,-0.13709977,0.78536344,347,-0.9464553691407092
349,300.0,0.09458991,0.36487854,0.17915241,0.16275206,0.015088374,-0.2706742,0.6356671,0.89727503,-0.16244338,0.092106745,-0.27277112,-0.6542555,0.18839817,0.6011735,0.55187416,0.8881137,0.45228988,-0.16806684,0.9506349,349,-4.868613965489638
350,347.0,0.04574635,0.49827975,-0.118201666,-0.1052969,-0.11598404,-0.29017353,0.62641615,0.8992705,-0.105671845,0.08801286,-0.29811716,-0.8370241,0.17779407,0.7276235,0.6010085,1.1263939,0.32917115,-0.16519879,0.9208239,350,-4.460375084747395
357,325.0,1.1264397,-0.15220952,-0.40910655,-0.39193392,0.7786993,0.0003927648,-0.2811678,0.9812105,0.309373,0.7167106,-0.009563151,-1.2092447,0.044482656,0.9030589,0.2266511,0.6984444,0.124647066,-0.21580112,0.71716577,357,0.032972016629946616
361,300.0,-0.1268678,0.22671083,1.1142727,1.0594207,-0.062112506,-0.08703291,0.23113406,0.85174626,-0.28258798,-0.020305887,-0.22305426,1.3306813,0.3115129,0.6462225,0.2377972,0.38188472,0.49466273,-0.1271721,0.72315365,361,-4.4908164733669285
364,347.0,-0.43987527,0.39214772,1.2142502,1.1993836,-0.6465799,0.060400516,0.18988235,0.72292525,-0.43237862,-0.20685871,-0.3644064,1.3634617,0.22575302,0.6437463,0.22212833,1.3562939,0.2467879,-0.16988178,0.5875782,364,-4.456620146018706
366,251.0,-0.9610425,-0.38719448,0.8313831,0.6859026,-2.0879018,-0.27976963,-1.8834549,0.253169,-0.8779096,-0.70048404,-0.4862619,1.4588568,-0.041167166,0.046233926,-0.1813403,0.8315661,-1.5892432,-0.3226414,0.0449125,366,-5.8738452192776816
375,300.0,-0.2672608,0.14033563,1.5357178,1.4550233,-0.14234768,-0.00575082,0.24465545,0.59468454,-0.5046334,-0.13276789,-0.23523965,0.962656,0.16668688,0.2635906,-0.009765688,0.6421387,-0.17326678,-0.100839056,0.5541125,375,-4.630308261059756
380,252.0,-0.74137485,-0.05832763,0.31538394,0.23964822,-1.5435877,-0.37858766,-0.93965626,0.4882639,-0.8767094,-0.546114,-0.43508264,1.4493773,0.16882953,0.3910313,-0.29312077,1.1949024,-0.023021476,-0.20427781,0.013049643,380,-5.201067793084156
387,375.0,0.10737609,-0.6533578,0.60506505,0.6282738,0.059858106,0.11437922,-0.5647905,0.3954939,-0.37968782,0.45096216,-0.2732586,-0.6855603,-0.19478524,0.7062678,-0.41232777,-0.14843643,0.20068572,-0.049806654,0.32987246,387,-4.720219103849155
398,325.0,-0.21892883,-1.1885283,-0.5077898,-0.48308948,-0.40106815,-0.4228086,-1.0754613,0.15482345,-0.60965484,0.49636853,-0.33906066,-1.255498,-0.3918416,0.61118674,-0.49538332,-0.54960287,0.0024477367,-0.22579224,0.08151754,398,-5.9505957633759285
403,209.0,-0.83573735,0.20877881,0.31116062,0.32004943,-0.5761891,-0.30241382,0.3709328,0.122070506,-0.81189615,-0.35845286,-0.34978393,-0.68753403,0.14178678,0.42221367,-0.4691918,0.9167346,-0.76983654,-0.20025003,0.15156989,403,-3.816710281468015
437,357.0,0.10558607,-0.015794978,0.07600847,0.041777503,-0.6590857,-0.6534452,-0.92166233,0.09723921,-0.33059776,0.16894847,-0.14360437,-1.170072,-0.22073285,0.9247404,0.0835517,-0.12085589,-0.62647533,-0.46148804,0.7947374,437,-4.791552433122813
438,340.0,0.06671579,-0.07470654,1.1820784,1.0704987,-0.9855748,-0.40813804,-1.3586974,0.002653893,-0.3979315,0.01883462,-0.16505091,-0.7955887,-0.29650897,0.79445195,-0.002617851,-0.18297532,-1.0540422,-0.4646684,0.79462224,438,-4.893057304349618
439,340.0,0.041654717,-0.12822573,0.8728472,0.7738675,-1.3828856,-0.4755625,-1.9211544,-0.12772611,-0.51555556,-0.10080898,-0.18600997,-0.77547157,-0.28203776,0.6179857,-0.088082254,-0.21225247,-1.3446937,-0.4590499,0.84131384,439,-4.839259562697785
445,340.0,0.5674252,0.29978716,-0.6259618,-0.6141177,0.42382613,-0.47398502,0.19611143,0.4620118,0.16654384,0.57417315,-0.062692344,-1.3475486,-0.16244605,1.2001631,0.41430807,0.3736564,0.707692,-0.47545794,0.82229906,445,-3.8063000707834282
446,340.0,0.50400543,0.37023106,1.3269396,1.22882,0.23892064,-0.12336424,0.0909787,0.4883249,0.058041643,0.45683658,-0.066591546,-0.65575194,-0.20582953,1.3055414,0.35281175,0.32371768,0.5618227,-0.4464314,0.92060477,446,-3.507079539972227
461,340.0,1.1036803,0.7077777,-0.2551447,-0.2571247,0.8928532,-0.08205329,0.4646781,0.5402993,0.27492586,0.67442656,0.0747606,-1.2116868,-0.32441956,1.112445,0.43824202,0.7195884,0.6421038,-0.45222554,0.6528225,461,-3.200809296947258
466,350.0,0.94231796,0.9447532,1.1914312,1.0815023,0.022841433,0.028701328,-0.06648306,0.8603378,0.16534357,0.32124093,-0.100223795,0.31288645,0.27742502,1.116188,0.544958,0.9207213,0.069898576,-0.43406296,1.3324624,466,-3.0268700678592957
475,337.0,1.2888249,0.8063277,0.012364538,0.021194002,1.1272665,0.061853513,0.5118845,0.49622273,0.06464303,0.6912006,0.12837727,-1.0519774,-0.46607247,0.95649743,0.40932947,0.86384535,0.502095,-0.43668473,0.59259814,475,-2.653081768925364
478,339.0,1.2215697,0.9465025,0.7770127,0.73569703,0.835179,0.14740218,0.73917454,0.7786189,0.5038128,0.49588376,0.049902324,1.1702158,0.057952598,1.2874953,0.49290198,0.98785144,0.7925064,-0.39642176,1.254653,478,-2.563721299746874
484,349.0,0.43393672,0.96589106,1.1953962,1.1857105,0.07019947,-0.105665624,0.48939487,1.0741997,0.15622169,0.2707091,-0.27813274,1.5469047,-0.08893791,1.1510031,0.7655772,0.8336025,0.71959794,-0.47115484,1.1585689,484,-1.148818946415427
485,349.0,0.063135594,0.700577,0.81041014,0.8023409,-0.2796059,-0.36154953,0.08612629,0.9499975,-0.047819983,0.13513353,-0.42094764,1.4476925,-0.17641595,1.0667909,0.6762425,0.55153877,0.49162382,-0.5265408,1.1029247,485,-1.0492951514738018
486,349.0,-0.1447688,0.48816344,1.1168886,1.0992332,-0.943046,-0.29218596,-0.7489484,0.7266683,-0.44162047,-0.11191743,-0.49942258,1.1310505,-0.3015076,0.8183843,0.43584436,0.25618288,0.23689322,-0.5664614,0.9101193,486,-1.3577264735233514
495,339.0,1.3289738,0.7833733,-0.042738184,-0.03126201,0.96960664,0.030106112,0.7751582,0.6389841,0.6148354,0.39400262,0.1274023,1.364704,-0.08107614,1.1539457,0.52421963,1.1590855,0.35646033,-0.36941203,1.1653978,495,-1.54824881851887
496,339.0,1.2895924,0.82155114,1.4418732,1.4131695,0.9377713,0.33974248,0.9406763,0.66224015,0.51665545,0.3863501,0.06452481,1.2990073,-0.003335705,1.0604918,0.5661171,1.0986462,0.67743033,-0.29987305,1.2201918,496,-2.3044607620343
497,228.0,1.224894,0.77851534,0.9001719,0.9305943,0.8704033,0.18858212,1.0382482,0.7387285,0.39951134,0.429716,0.029917907,0.0031196144,0.056207485,1.0620974,0.6324245,1.0141442,0.48027512,-0.31796077,1.2344937,497,-2.7975173274384764
500,228.0,0.9873255,0.9283972,0.60739255,0.6009579,0.5777759,-0.017175326,1.0237715,1.0642854,0.29100925,0.42351156,-0.13141866,0.66438955,-0.009782519,0.8941677,0.8973057,1.102348,0.74825174,-0.38379633,1.2317234,500,-1.4754213351224148
501,349.0,0.78376824,0.93048745,0.57056737,0.56525755,0.5106776,-0.08239745,0.94797856,1.0957434,0.2720455,0.35376132,-0.18600997,-0.2834597,0.0813515,1.0215018,0.9352963,1.0136447,0.58346146,-0.3835903,1.1525062,501,-0.9956625903919237
503,225.0,0.10712037,0.8986285,0.3125557,0.30184805,-0.30960694,-0.45396903,0.046834838,0.9120301,-0.10051076,0.055008423,-0.4131486,-0.49186453,0.0082629,0.97586983,0.7295798,0.51366436,0.29415283,-0.4357625,1.0194157,503,-1.2246999319525749
504,225.0,-0.4099554,0.15227503,0.4359686,0.4101435,-1.0726908,-0.49938262,-1.0691864,0.68468726,-0.44486117,-0.2192172,-0.58082205,-0.4159029,-0.19413795,0.7501297,0.44798368,0.1017998,-0.5093401,-0.43231645,0.8220009,504,-2.1940811257574597
507,337.0,1.5202562,0.8388473,1.5439868,1.566945,1.2372135,0.48834363,0.6101722,0.5440185,0.63571966,0.6272299,0.2273238,0.39037293,-0.23292753,1.382935,0.46399248,1.3390269,0.93922085,-0.34447098,1.1661245,507,0.33823474697408623
509,339.0,1.3016111,0.64922446,0.38259134,0.40732133,0.9833816,0.12323151,0.66818076,0.39522043,0.67748815,0.25947812,0.16200921,1.4141831,-0.2601814,0.8540066,0.4693398,1.1950885,0.3923826,-0.3283001,1.080002,509,-0.8685149330374685
513,228.0,1.1379473,0.80850023,0.5359467,0.56268686,0.82216763,0.031127935,0.9074734,0.80222756,0.5455813,0.42830175,-0.02321098,1.4378735,0.07545,0.9093012,0.78649294,1.0350754,0.7231647,-0.33967182,1.1069523,513,-1.6511584975222384
516,225.0,0.7282761,0.9709429,0.08614072,0.06372384,0.46092662,-0.23062208,1.0584393,1.0026703,0.40899333,0.31999964,-0.29275554,-0.73434865,0.27671665,1.0332948,0.9379263,0.7812755,0.74873763,-0.2626157,1.0266829,516,-0.7601448545793698
526,228.0,0.9223714,0.39097184,0.69202286,0.74239576,0.7441599,0.09858362,0.44040775,0.21072768,0.2965303,0.16491902,0.1542105,1.4646966,-0.11563074,0.50401837,0.26956302,0.93510634,-0.028247816,-0.25406656,0.6363684,526,-0.9468217651455564
530,228.0,0.9308101,0.84926057,0.5476294,0.5002151,0.8982624,-0.053839352,0.921925,0.91821176,0.5793082,0.42194018,-0.059767786,1.5184782,0.28602704,1.1582799,0.79481614,0.7826314,0.19852962,-0.26922897,0.8814629,530,-2.1290126846653585
538,339.0,0.714467,0.34508657,0.9242969,0.981963,0.84836817,0.16709894,0.28262177,0.07030863,0.4511219,0.27071425,0.23950951,0.0753098,-0.4638602,0.41989374,0.07524055,1.1105479,0.6451076,-0.30643782,0.63997257,538,-0.6481696363129659
539,339.0,0.6413297,0.3355213,0.27724534,0.32441497,0.7195542,-0.066595346,0.17317784,0.04975978,0.12105447,0.11459171,0.2131885,1.0210818,-0.23218906,0.32653162,-0.035112455,0.91272026,-0.17402849,-0.29176763,0.422513,539,-0.7354872092897147
544,348.0,0.6257303,0.9540298,-0.6779144,-0.650244,0.3408933,-0.44951126,1.1196035,0.8769187,0.09284875,0.31898546,-0.2951926,-1.2434386,-0.15717748,0.9601936,0.93437445,0.4864643,0.16273147,-0.3433248,0.80475324,544,-2.4271627047273734
552,225.0,1.0042034,1.0297059,0.69577634,0.57296336,1.0374041,0.0644171,0.6860217,0.9645143,0.19474956,0.36384457,0.059163168,1.2910545,0.56231695,1.133426,0.68445885,0.6635556,0.9353832,-0.21872275,1.0664449,552,-0.2575983552048252
553,225.0,0.9397605,0.88491464,0.4025771,0.3148006,0.97208977,-0.08126524,0.7275012,0.8352321,0.17494553,0.34008592,-0.02223633,-0.42951518,0.22138193,0.9746292,0.84682775,0.40013695,0.80928785,-0.21460749,1.162094,553,-1.059041919638593
554,225.0,0.7702153,0.74116266,-0.6982108,-0.6704532,0.8474357,-0.38006523,0.77279806,0.72228104,0.113012895,0.29434222,-0.071466014,-1.2448343,-0.057759445,0.7986877,0.9674399,0.31060928,0.54007304,-0.22694592,1.1170578,554,-1.754004524487381
557,348.0,0.32499805,0.5999355,0.04503963,0.12131931,-0.64440066,-0.35832977,-0.2966694,0.83362067,-0.06102275,-0.061143573,-0.5476773,1.5104562,-0.16300485,0.74455124,0.7309438,-0.34163922,0.52030057,-0.31099632,0.6380029,557,-3.7776854456141495
