,ext_pet_vox_pls_0,domain
0,-5.907764241741855,face
1,-1.1644180447851589,face
2,1.7344629410767578,face
3,-2.4443142098679447,face
4,0.44843166610711666,face
5,-4.558635737188269,face
6,-4.776489150922238,face
7,-3.5944244577305215,face
8,-1.7476311670853044,face
9,-2.328101374673364,face
10,-1.4351617264664318,face
11,0.2144891150889218,face
12,-3.310258160961816,face
13,-2.8406468248880814,face
14,-2.6640758503711774,face
15,-3.630558435177963,face
16,-3.3261024735432065,face
17,-4.503583167775528,face
18,-0.756591351075186,face
19,0.21934407066013353,face
20,-0.9985176563036599,face
21,4.383003742788166,face
22,-3.917031935581392,face
23,-3.7979430807446595,face
24,-2.4394887711103674,face
25,-3.2596804555015035,face
26,-3.0688436728990016,face
27,-3.0568741494973075,face
28,-3.4680917618210456,face
29,-2.3804767773638655,face
30,-3.1725591525025614,face
31,-4.303296256236356,face
32,-3.380789059514799,face
33,-3.730164841385138,face
34,-2.7282687351896384,face
35,-3.023259893277037,face
36,-2.7277497101917545,face
37,-2.8704823726916686,face
38,-3.640448146930902,face
39,-3.2597015632870656,face
40,-4.7539999185960635,face
41,-3.0963823444096,face
42,-5.426575854991775,face
43,-2.2572913654790225,face
44,-2.8411077961485547,face
45,-2.7503305291430684,face
46,-3.230497482222419,face
47,-1.964683152834978,face
48,-2.2301476987956503,face
49,-3.089712301094481,face
50,-2.572243073116951,face
51,-2.1136594109773554,face
52,-3.7765361977294813,face
53,-2.1016752850528615,face
54,-2.309445326143614,face
55,-1.8064498815195857,face
56,-2.234851850482487,face
57,-2.6747780700422643,face
58,-2.821524217131882,face
59,-2.565018415107095,face
60,-2.85699804275841,face
61,-2.100239539852249,face
62,-2.6719865421286952,face
63,-3.028353017656453,face
64,-3.1483935061910078,face
65,-3.7045107150974284,face
66,-0.9419709538000491,face
67,-1.488126316619068,face
68,-0.053650723520853996,face
69,-0.9529376792058387,face
70,-0.12873514345522835,face
71,0.5891457054450409,face
72,1.0728492333230712,face
73,-2.517568569287329,face
74,-0.5813442182381195,face
75,0.25615789935117145,face
76,-1.2521165546083135,face
77,-0.44141094487862226,face
78,-1.4524243592260684,face
79,-1.3099600838650003,face
80,3.0735043761337475,face
81,-2.3286945455695083,face
82,-1.2599471446766686,face
83,-1.1751016432304728,face
84,-1.7253833145982922,face
85,-1.6552058444053366,face
86,-1.8703296300799803,face
87,-1.4934270953018056,face
88,-3.1303957136652576,face
89,-1.9327491374863008,face
90,-2.2944329510535995,face
91,-2.1132076779788425,face
92,-1.5260825248651075,face
93,-1.173758161215771,face
94,-1.6318391331241153,face
95,-1.8881605266827604,face
96,-3.5178677357523784,face
97,-2.2900034110313485,face
98,-0.832851226387065,face
99,-2.226152997729187,face
100,-3.545959051413734,face
101,-2.9363326420334595,face
102,-2.1518811146681918,face
103,-2.2398836265704722,face
104,-2.0652109308018214,face
105,-1.1845140460387513,face
106,-2.2412006327995977,face
107,-2.4388583779049693,face
108,-6.269996602311448,face
109,-3.472408683611478,face
110,-1.7267228372909218,face
111,-1.6325130197147664,face
112,-1.462583679946494,face
113,-1.682872544130685,face
114,-0.3933012772102452,face
115,-0.5022561638524536,face
116,0.4307505426783453,face
117,-1.2492356930781954,face
118,-2.5189239543607047,verbal semantics
119,-1.6653849309867883,verbal semantics
120,-0.9301789424341937,verbal semantics
121,-0.690415606503937,verbal semantics
122,-2.021862763479231,verbal semantics
123,-2.1385291144906704,verbal semantics
124,-1.9368253348984759,verbal semantics
125,-2.895276853979677,verbal semantics
126,-5.421362786243194,verbal semantics
127,-7.248481370247829,verbal semantics
128,-0.5300394554267377,verbal semantics
129,-2.155073186482318,verbal semantics
130,0.05972648796373189,verbal semantics
131,-0.3210642372437444,verbal semantics
132,1.0462077759537196,verbal semantics
133,-0.06248820752389102,verbal semantics
134,-0.8652980277803479,verbal semantics
135,0.1263040628821621,verbal semantics
136,-1.05611412112036,verbal semantics
137,-2.323627872173168,verbal semantics
138,-4.601021657520682,verbal semantics
139,-5.823075099948251,verbal semantics
140,0.44843166610711666,verbal semantics
141,-0.5373060031356035,verbal semantics
142,1.988423463234939,verbal semantics
143,0.6193248174507548,verbal semantics
144,2.161992950929907,verbal semantics
145,1.5279181468693248,verbal semantics
146,0.2977192632510974,verbal semantics
147,-2.1583673364725886,verbal semantics
148,-1.3174609560416337,verbal semantics
149,-4.12279311269611,verbal semantics
150,-4.576980556498119,verbal semantics
151,-8.745782322676986,verbal semantics
152,-8.013972721696144,verbal semantics
153,-10.164351733575455,verbal semantics
154,0.2144891150889218,verbal semantics
155,0.7227808388560661,verbal semantics
156,1.4380536004526538,verbal semantics
157,-0.5496221343970223,verbal semantics
158,1.7322957211751726,verbal semantics
159,1.0706695602410652,verbal semantics
160,0.38127880904655304,verbal semantics
161,2.3066558023392183,verbal semantics
162,0.6437029361873383,verbal semantics
163,2.405781756179774,verbal semantics
164,0.3265176128996517,verbal semantics
165,2.086531791873432,verbal semantics
166,2.1208927845812577,verbal semantics
167,0.2062271914639359,verbal semantics
168,2.75654118207435,verbal semantics
169,3.582963812518631,verbal semantics
170,1.3702555038724062,verbal semantics
171,4.1457480915210825,verbal semantics
172,2.8183711066894808,verbal semantics
173,0.8116112665880514,verbal semantics
174,1.491000734885319,verbal semantics
175,3.702159128434795,verbal semantics
176,0.1319149255246216,verbal semantics
177,-0.497418738504051,verbal semantics
178,0.6543688248301781,verbal semantics
179,-0.42865667042464883,verbal semantics
180,-0.2327072995400681,verbal semantics
181,-1.3677858183376852,verbal semantics
182,-0.5876638582267001,verbal semantics
183,-2.0395857844031835,verbal semantics
184,-2.858119638091326,verbal semantics
185,-3.143680226003772,verbal semantics
186,-4.451534832655207,verbal semantics
187,-6.037821708816956,verbal semantics
188,-7.701642988085923,verbal semantics
189,-10.46466873142977,verbal semantics
190,-10.025591756563045,verbal semantics
191,-8.564927437806906,verbal semantics
192,-0.05147061465436682,verbal semantics
193,0.9866139997370277,verbal semantics
194,0.845553420661753,verbal semantics
195,0.7309254369180616,verbal semantics
196,-0.1176527666028657,verbal semantics
197,-0.1647897135801428,verbal semantics
