energy_density,domain
-1.3155114650726318,face
-1.7905551195144653,face
-0.5053254961967468,face
-1.3805614709854126,face
-2.922529458999634,face
-1.8542733192443848,face
-1.3768197298049927,face
-1.513911247253418,face
-2.574995994567871,face
-1.5649951696395874,face
-1.5076947212219238,face
-1.78252375125885,face
-2.3559577465057373,face
-0.846350371837616,face
-1.6207916736602783,face
-0.5148559808731079,face
-0.4801521897315979,face
-0.73532634973526,face
-0.30054137110710144,face
0.7209653258323669,face
-1.2394627332687378,face
-1.8513013124465942,face
-1.206479787826538,face
-0.8607270121574402,face
-1.037787675857544,face
-1.3152923583984375,face
-0.9542586207389832,face
-1.5973044633865356,face
-1.412039041519165,face
-1.780636191368103,face
-1.094346046447754,face
-1.7800267934799194,face
-0.5812269449234009,face
-0.6573934555053711,face
-1.4850163459777832,face
-0.9063129425048828,face
3.674875497817993,face
2.3995859622955322,face
-2.305216073989868,face
-2.343404769897461,face
-0.5226300358772278,face
-2.2045645713806152,face
-1.517046570777893,face
-0.05734695494174957,face
-1.480862021446228,face
-0.6390742659568787,face
-0.8789069652557373,face
-0.7832744121551514,face
-0.6773832440376282,face
-1.2030049562454224,face
-0.8167820572853088,face
-0.4487559199333191,face
-0.6047983169555664,face
-0.07825472950935364,face
-0.13095954060554504,face
-1.1329065561294556,face
-0.37643253803253174,face
0.41653579473495483,face
1.2287801504135132,face
-1.0828359127044678,face
-1.0532582998275757,face
-0.5591859817504883,face
-0.9283466339111328,face
-0.7948190569877625,face
-1.3017722368240356,face
-0.7580189108848572,face
-0.4266943037509918,face
-0.05627049133181572,face
-0.5354112386703491,face
-0.31142786145210266,face
-1.2869867086410522,face
-0.3740123212337494,face
-0.643790602684021,face
3.223543643951416,face
1.4425773620605469,face
2.391646385192871,face
1.8386099338531494,face
-1.728475570678711,face
-0.137773334980011,face
-1.0338079929351807,face
-0.048649862408638,face
-0.19938017427921295,face
-0.5814551115036011,face
-0.18808339536190033,face
-0.5577845573425293,face
-1.6637272834777832,face
-0.9066458940505981,face
-0.45812150835990906,face
-0.9161597490310669,face
-0.10634800046682358,face
-0.15374356508255005,face
-0.13705918192863464,face
-3.215514659881592,face
-0.6057130694389343,face
-0.4976423382759094,face
-1.6129555702209473,face
-0.4166354537010193,face
4.040792465209961,face
3.8727269172668457,face
0.4990561604499817,face
3.140767812728882,face
2.656599998474121,face
2.360975742340088,face
-1.5969103574752808,face
-1.4200037717819214,face
-0.5050486326217651,face
